ID,LAST_UPDATED_TIMESTAMP,POSTED,TITLE_RAW,TITLE_CLEAN,TITLE_NAME,ONET,ONET_NAME,SOC_2021_5,SOC_2021_5_NAME,SOC_5,SOC_5_NAME,COMPANY_NAME,CITY_NAME,STATE_NAME,NAICS_2022_6,NAICS_2022_6_NAME,ROLE_SEGMENT,ROLE_MATCH_REASON,SCOPE_TIER,SOC_DATA_SCIENTIST_MAPPING,MAPPING_ONLY_CORE_RISK
067b1cc16c1d402c32b57c0b0f69330cc733af7d,2024-10-09 18:07:44.758 Z,8/13/2024,SAP HR Payroll/Time Functional Consultant,sap hr payroll time functional consultant,SAP HR Payroll Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Scadea Solutions,"Lawrenceville, GA",Georgia,513210,Software Publishers,,,,Yes,Yes
070607fa9d87c6252633f4f77c7f25d807ca94ae,2024-09-06 20:32:57.352 Z,6/27/2024,Principal Business Intelligence Analyst,principal business intelligence analyst,Principal Business Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Sacramento, CA",California,513210,Software Publishers,,,,Yes,Yes
0724e0cdd5d7dc3cf838325227ed6f1283223541,2024-10-01 14:26:28.215 Z,9/19/2024,Principal - Enterprise Architect - Federal,principal enterprise architect federal,Principal Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Workday,"[Unknown City], WA",Washington,513210,Software Publishers,,,,Yes,Yes
07c15b76e832f94cda09dbad2bb60bd6732590b4,2024-09-06 20:32:57.352 Z,5/11/2024,Sr. Payroll Implementation Consultant (Medium Enterprise),sr payroll implementation consultant medium enterprise,Payroll Implementation Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Workday,"Salt Lake City, UT",Utah,513210,Software Publishers,,,,Yes,Yes
07cba8439c98bfa1260745b9d6ccac1af49f15cd,2024-09-06 20:32:57.352 Z,5/12/2024,Oracle NetSuite - Senior Revenue Insights Analyst,netsuite senior revenue insights analyst,Insights Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Jackson, MS",Mississippi,513210,Software Publishers,,,,Yes,Yes
07df378abb524bc9eab87476da17d62d3b9a775c,2024-10-26 13:32:31.427 Z,8/26/2024,2025 University Graduate - Enterprise Resilience Analyst,university graduate enterprise resilience analyst,Graduate Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Adobe,"New York, NY",New York,513210,Software Publishers,,,,Yes,Yes
07f87f1bd9150b7c09fcfeec17483261787e9d5c,2024-09-06 20:32:57.352 Z,6/28/2024,Senior Consultant- Oracle Global Trade Mgmt (GTM) and Transportation Mgmt (OTM),senior consultant global trade mgmt gtm and transportation mgmt otm,Management Trainees,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Augusta, ME",Maine,513210,Software Publishers,,,,Yes,Yes
07fa963a60728701c8c752c56cf956f945e11060,2024-10-09 18:07:44.758 Z,5/11/2024,Data Analyst,data analyst,Data Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Microsoft,"Atlanta, GA",Georgia,513210,Software Publishers,,,,Yes,Yes
0808e8fe5f1452c7c026195ed3b3d941ed9db81b,2024-09-06 20:32:57.352 Z,7/11/2024,Senior Principal Consultant - Manufacturing - NetSuite ACS,senior principal consultant manufacturing netsuite acs,Netsuite Principal Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Sacramento, CA",California,513210,Software Publishers,,,,Yes,Yes
08631782661f51f3884eba47846f56f6b0af6684,2024-10-09 18:07:44.758 Z,5/12/2024,Data Analytics Lead,data analytics lead,Data Analytics Leads,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Salesforce,"Chicago, IL",Illinois,513210,Software Publishers,,,,Yes,Yes
086c0195cf21fa213f158154f3a612463cb7b3f1,2024-09-06 20:32:57.352 Z,6/10/2024,ERP Accounting Specialist,erp accounting specialist,Accounting Specialists,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,My Office Apps,"Irvine, CA",California,513210,Software Publishers,,,,Yes,Yes
0889d4b29fe4942ab2d3a532e19130afc742a028,2024-09-30 14:12:46.599 Z,9/27/2024,Enterprise Architect,enterprise architect,Enterprise Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Loftware,"Portsmouth, NH",New Hampshire,513210,Software Publishers,,,,Yes,Yes
091107ff7093cc704401259d03c7e221b49c9c9e,2024-09-06 20:32:57.352 Z,7/2/2024,Senior Consultant- Oracle Order Management and Pricing,senior consultant order management and pricing,Oracle Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Indianapolis, IN",Indiana,513210,Software Publishers,,,,Yes,Yes
0914a533a52ad336d2fc070cf875dab76d3959fe,2024-09-13 13:30:22.269 Z,9/11/2024,Oracle Health Principal Consultant - Point of Care,health principal consultant point of care,Principal Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Boston, MA",Massachusetts,513210,Software Publishers,,,,Yes,Yes
096dadf5045d88313b8e3bc6188a001f44d10ac7,2024-09-06 20:32:57.352 Z,5/31/2024,Sr Consultant- Oracle Subscription Mgmt and Advanced Pricing,sr consultant subscription mgmt and advanced pricing,Subscription Managers,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Springfield, IL",Illinois,513210,Software Publishers,,,,Yes,Yes
